Beer,Origin,Style,ABV,Ratings
Cismontane Brewing The Citizen,CA,California Common / Steam,6%,3.050
Titletown Early Sunset Bitter,WI,Extra Special Bitter,-,3.050
Lovejoys Re-Session Ale,TX,Blonde Ale,-,3.050
Great Dane Falling Leaf Amber,WI,Amber Ale,-,3.050
Golden Bear Bohemian Lager,CA,Bohemian / Czech Pilsener,4.65%,3.050
Lovejoys Copper Shed Ale,TX,Amber Ale,-,3.050
Lovejoys Engine Oil Stout,TX,Stout,-,3.050
Town Hall Wee Heavy,MN,Scottish Ale,8.5%,3.050
Angel City Abbey,CA,Abbey Dubbel,8%,3.050
Stewarts Rocky Mountain IPA,DE,IPA,6.4%,3.050
Front Street Raging River Ale,IA,English Pale Ale,-,3.050
Brewer's Alley 1634 Ale,MD,Rye Beer,5.8%,3.050
TwoRows La Fermiere (French Country Ale),TX,Saison,-,3.050
Mustang Amber Lager,OK,Dunkel / Dark Lager,4.5%,3.050
St. Francis Weissbier,WI,Hefeweizen,6.5%,3.050
Bridge Brew Works Ale,WV,English Pale Ale,5.56%,3.050
Town Hall AmeriBelg Pale Ale,MN,Belgian Ale,5.7%,3.050
Sudwerk Extra Pale Ale,CA,American Pale Ale,-,3.050
Sweet Mullets Hefeweissen with Ginger,WI,Hefeweizen,-,3.050
Sudwerk Signature Series Dunkel Weiss Bock,CA,Weizenbock,7%,3.050
Cascade Lakes Pine Martin Pale Ale,OR,American Pale Ale,5.1%,3.050
Market Street Lager,NY,Lager,4.6%,3.050
Lagunitas Black Rain Imperial Stout,CA,Imperial Stout,8.2%,3.050
Freetail Morning Wit,TX,Witbier,4.2%,3.050
Blue Heron RYEzome Red,WI,Amber Ale,6%,3.050
Saugatuck Oval Beach Blond Ale,MI,Blonde Ale,5.3%,3.050
Tahoe Mountain Paddleboard Pale Ale,CA,American Pale Ale,5.6%,3.050
Swamp Head/Cigar City Roosevelt American Barley Wine,FL,American Barleywine,13%,3.050
Blind Tiger Cuvée de René,KS,Fruit Beer,-,3.050
Migration Clems Cream,OR,Cream Ale,4.6%,3.050
Hereford & Hops Stumpsitter Stout,MI,Stout,-,3.050
Great Dane Human Pathos,WI,IPA,-,3.050
Titletown India Ink,WI,IPA,-,3.050
Equinox Java Jonas,CO,Porter,-,3.050
Tahoe Mountain Wild Hair Wheat,CA,Hefeweizen,5.3%,3.050
Titletown One Hop Wonder: Santiam,WI,American Pale Ale,-,3.050
Bells Le Pianiste,MI,Biere de Garde,-,3.050
Oakshire Line Dry Rye,OR,Rye Beer,5.3%,3.050
Rock Bottom Hogshead English Bitter,CO,Extra Special Bitter,5.7%,3.050
TwoRows Pilsener,TX,Bohemian / Czech Pilsener,-,3.050
O'so Spikes 2010,WI,Dunkel Weizen,6.7%,3.050
Baron Schwarzbier,WA,Schwarzbier,-,3.050
Cascade Red Eye Rye,OR,Rye Beer,-,3.050
Roffeys Wheat Wave Ale,MI,American Wheat,3.5%,3.050
Saranac Black Lager,NY,Schwarzbier,5.5%,3.050
Emmetts Hefeweizen,IL,Hefeweizen,5.5%,3.050
Midnight Sun Hop Dog Double Wheat IPA,AK,Imperial IPA,8%,3.050
River City Razz-berry Wheat,KS,American Wheat,-,3.050
Pyramid Sun Fest,WA,Bohemian / Czech Pilsener,5%,3.050
Milwaukee Brewing Company Hop Happy IPA,WI,IPA,7.7%,3.050
Emmetts Munich Light,IL,Helles / Dortmunder,4%,3.050
Upslope Foreign Style Stout,CO,Foreign / Extra Stout,6.9%,3.050
Moosejaw Sweet Cherry Ale,WI,Fruit Beer,5.3%,3.050
Sacramento Celtic Amber,CA,Amber Ale,6%,3.050
Seven Bridges Toll Tender IPA,FL,IPA,5.88%,3.050
Das Bierhaus Altbier,WI,Altbier,5%,3.050
Indigo Imp Dragon Black Beer,OH,Wild Ale,5.8%,3.050
Sheltowee GloomSucker Black Ale,KY,Schwarzbier,5.5%,3.050
Rogue Brutal IPA,OR,IPA,6%,3.050
Terminal BrewHouse Who is John Alt?,TN,Altbier,-,3.050
Portsmouth Murphys Law Red Ale,NH,Amber Ale,-,3.050
Flossmoor Station Time-Out IPA,IL,IPA,7.7%,3.050
Mountain Town Station Steam Engine Stout,MI,Imperial Stout,-,3.050
Titletown Deja Brew,WI,American Pale Ale,-,3.050
Manayunk Hey Joe,PA,Imperial Porter,8%,3.050
St. Stan's Virgin Dark,CA,Altbier,6%,3.050
Fort Collins Oatmeal Raisin Stout,CO,Oatmeal Stout,5%,3.050
Crescent City Weizenbock,LA,Weizenbock,-,3.050
Triangle India Pale Ale (100th Batch IPA),NC,IPA,6.7%,3.050
Great Dane Shorewood Shwartz,WI,Schwarzbier,-,3.050
Richbrau Kölsch,VA,Kölsch,4.7%,3.050
Gray's Coffee Stout,WI,Coffee Stout,-,3.050
Pearl Street Rubber Mills Pils,WI,Bohemian / Czech Pilsener,-,3.050
Stewarts Monk's Revenge Abbey Tripel,DE,Abbey Tripel,10%,3.050
Heavy Seas Summer Ale,MD,Blonde Ale,4.5%,3.050
Lightning Elemental Pilsner,CA,Bohemian / Czech Pilsener,5.5%,3.050
McKenzie Maibock,PA,Bock,-,3.050
H.C. Berger Red Banshee Ale,CO,Amber Ale,5.3%,3.050
Vertigo Apricot Cream Ale,OR,Cream Ale,4.6%,3.050
Big Trees California Red Ale,CA,Amber Ale,-,3.050
Madison Willoughbys Scottish Ale,VT,Scottish Ale,-,3.050
Marin Bravo India Pale Ale,CA,IPA,6.5%,3.050
Great Dane Tri Pepper Pilsener,WI,Spiced Beer,-,3.050
Rubicon T.C.B. E.S.B. R.I.P. E.A.P.,CA,Extra Special Bitter,-,3.050
Rock Bottom Pils,CO,Bohemian / Czech Pilsener,-,3.050
Thirsty Bear Bravo IPA,CA,IPA,6.7%,3.050
Nebraska India Pale Ale,NE,IPA,6.5%,3.050
Cherryland Cherry Rail,WI,Fruit Beer,-,3.050
Lagerheads Half-Moon Hefeweizen,OH,Hefeweizen,5.3%,3.050
Philadelphia Walt Wit,PA,Witbier,4.2%,3.050
Coeur D Alene Honeymoon Wheat,ID,American Wheat,3.4%,3.050
Revolution Workingman Mild,IL,Mild Ale,3.5%,3.050
Freetail Two,TX,Abbey Dubbel,-,3.050
Sacramento Bravo IPA,CA,IPA,6.6%,3.050
Third Street Stepchild Red Ale,CA,Amber Ale,5.2%,3.050
Heidrun California Avocado Blossom,CA,Mead,-,3.050
Carlyle West Coast Red,IL,Amber Ale,5.5%,3.050
Freetail Prickly Fairy Peril,TX,Spiced Beer,-,3.050
Oaken Barrel Superfly IPA,IN,IPA,7.5%,3.050
Jack's Gridiron Amber Ale,CA,Amber Ale,5.6%,3.050
Millys Tavern Dubbel Barrel,NH,Abbey Dubbel,7%,3.050
El Toro Bravo IPA,CA,IPA,6.4%,3.050
Monterey Coast Chocolate Porter,CA,Porter,-,3.050
Vertigo Schwindel Alt,OR,Altbier,5.1%,3.050
Stonefly Brewtown Brown,WI,Brown Ale,5%,3.050
Hinterland Raspberry Rye,WI,Fruit Beer,-,3.050
Norwester Oregon Pale Ale,OR,American Pale Ale,5.5%,3.050
Papago Bridalweiss,AZ,Dunkel Weizen,-,3.050
Vertigo Smokestack Red Ale,OR,Amber Ale,-,3.050
Green Dragon Velvet Bulldozer,OR,Old Ale,-,3.050
Mehana Beer,HI,Helles / Dortmunder,-,3.050
Jack's Red Ale,CA,Amber Ale,-,3.050
Odell Curmudgeons Nip,CO,English Barleywine,7.9%,3.050
Red Branch Hard Black Cherry,CA,Cider,6.9%,3.050
Grand Teton XX Mountainberry Double Wheat Ale,ID,Fruit Beer,7.6%,3.050
Weidmans Naked Nut Brown Ale,AR,Brown Ale,-,3.050
Widmer Brothers Hop Jack Pale Ale,OR,American Pale Ale,5%,3.050
Rabbit's Foot Honey Red,CA,Irish Ale,5%,3.050
Original Saratoga Springs Golden Bock,NY,Bock,-,3.050
Stone Coast Jamaican Style Stout,ME,Foreign / Extra Stout,7.4%,3.050
Big House Bitter,NY,Bitter,-,3.050
Grand Teton The Grand Saison,ID,Saison,7.5%,3.050
Oasis Tut Brown Ale,CO,Brown Ale,-,3.050
Moab Brewery Elephant Hill Hefeweizen,UT,Hefeweizen,4%,3.050
Bristol Edge City Pilsner,CO,Bohemian / Czech Pilsener,4.62%,3.050
23rd Street Double Crimson Phog,KS,Strong Ale,8%,3.050
Arctic Craft Vanilla Porter,CO,Imperial Porter,9.2%,3.050
Cape Ann Fishermans Navigator,MA,Doppelbock,8%,3.050
Sequoia Tamarack Amber Ale,CA,Amber Ale,5.5%,3.050
Lake Placid Matts Maibock,NY,Bock,8.6%,3.050
Ale Industries Kriek,CA,Wild Ale,5%,3.050
Standing Stone India Pale Ale,OR,IPA,-,3.050
Portsmouth Old Brown Dog,NH,Brown Ale,-,3.050
Mt. Carmel Harvest Ale,OH,Extra Special Bitter,8%,3.050
Rock Bottom Coronado Nut Brown Ale,CO,Brown Ale,-,3.050
5 Seasons North Muscadine Ale,GA,Fruit Beer,5%,3.050
Grumpy Troll Belgian-Style Sassion,WI,Saison,-,3.050
Original Saratoga Springs Pilsener,NY,Bohemian / Czech Pilsener,-,3.050
Hyland Sturbridge Amber,MA,Amber Ale,-,3.050
Big Buck Raspberry Wheat,MI,Fruit Beer,-,3.050
Muskie Capital Honey Double Maibock,WI,Bock,7.6%,3.050
Blue Frog Last Hop Standing,CA,IPA,7.2%,3.050
Golden West Mt Shasta Imperial India Pale Ale,CA,Imperial IPA,9.1%,3.050
Triple Rock Anniversary Ale,CA,IPA,5.6%,3.050
Voodoo Wynonas Big Brown Ale,PA,Brown Ale,-,3.050
Walnut Singletrack Copper Ale,CO,Amber Ale,5.1%,3.050
Titletown One Hop Wonder: Willamette,WI,American Pale Ale,-,3.050
Thunder Canyon Black Cherry Wheat,AZ,Fruit Beer,-,3.050
Heavy Seas Aarsh Red - Imperial Red Ale,MD,Irish Ale,7%,3.050
Sierra Nevada Long Stem IPA,CA,IPA,-,3.050
J.T. Whitneys Dark Comedy Dubbel,WI,Abbey Dubbel,-,3.050
Beer On The Wall Beer Off The Wall Holiday Ale,CA,Amber Ale,6%,3.050
Main Street 35 Extra Stout,OH,Foreign / Extra Stout,5.5%,3.050
Titletown Aredennes Ale,WI,Belgian Ale,-,3.050
Babes Bar-B-Que 29 Palms Pale Ale,CA,American Pale Ale,5.2%,3.050
Cascade Test Flight IPA,OR,IPA,5.7%,3.050
Rustic Rail Oatmeal Stout,WI,Oatmeal Stout,-,3.050
Barrel House Oktoberfest,OH,Marzen / Oktoberfest,-,3.050
Hopworks DOA Deluxe Organic Ale,OR,Strong Ale,6.9%,3.050
Triple Rock Truth Serum,CA,Wheatwine,8.2%,3.050
Jupiter Hefeweizen,CA,Hefeweizen,5%,3.050
Rustic Rail Nut Brown Ale,WI,Brown Ale,-,3.050
Tyranena Imperial Weizen,WI,Hefeweizen,7.5%,3.050
McKenzie Blackberry Dubbel,PA,Abbey Dubbel,-,3.050
Sequoia China Peak Pilsener,CA,Kölsch,5.5%,3.050
Buffalo Drool,MO,Brown Ale,5.5%,3.050
Freetail Jason's Fo'dy,TX,Strong Lager,-,3.050
Bayou Teche Courir de Mardi Gras,LA,Biere de Garde,-,3.050
Atlanta Reverend Mudbone,GA,Blonde Ale,-,3.050
Davidson Brothers Sagamore Ale,NY,Blonde Ale,-,3.050
McKenzie Grisette,PA,Saison,4%,3.050
Fauerbach Amber Lager,WI,Vienna / Amber Lager,-,3.050
Cape Cod Stellwagen Stout,MA,Stout,-,3.050
Buffalo Rye IPA,MO,IPA,6.5%,3.050
Terminal Gravity ESG (Extra Special Golden),OR,American Pale Ale,5.4%,3.050
Coachs Kona Coffee Stout,OK,Coffee Stout,-,3.050
Stewarts London Ale,DE,English Pale Ale,5.2%,3.050
Medovina Classic Mead - Off Dry Oak Aged,CO,Mead,13%,3.050
Gearys Anniversary Ale,ME,Imperial Porter,7.6%,3.050
Green Flash Fizzy Yellow Beer - Bohemian-Style Lager,CA,Bohemian / Czech Pilsener,5.4%,3.050
Govnors Public House Donegal IPA,IL,IPA,-,3.050
Wasatch Stout,UT,Milk Stout,-,3.050
Dying Vines Deez English Mild,CA,Mild Ale,3.9%,3.050
Grimm Brothers Little Red Cap,CO,Altbier,5.2%,3.050
Hopworks Terry Porter,OR,Porter,6%,3.050
Three Floyds Amon Amarth -- Ragnarok,IN,Imperial Porter,8.2%,3.050
Cornerstone Eden,OH,Fruit Beer,-,3.050
Heartland HefeWeizen,NY,Hefeweizen,4.5%,3.050
Fox River Slam Dunkel,WI,Dunkel Weizen,-,3.050
Thirsty Dog Labrador Lager,OH,Helles / Dortmunder,6%,3.050
Anacapa White Cap Wit,CA,Witbier,5.8%,3.050
Moonlight Left for Dead,CA,Schwarzbier,5.4%,3.050
Calumet Fat Man's Nut Brown Ale,WI,Brown Ale,-,3.050
Natty Greene's Buckshot Amber Ale,NC,Amber Ale,4.8%,3.050
Thunder Canyon Tumbling Plumbleweed,AZ,Fruit Beer,-,3.050
Thunder Canyon Roadrunner Red Lager,AZ,Vienna / Amber Lager,-,3.050
21st Amendment Bravo Victor Alpha,CA,IPA,6.5%,3.050
Big Al Big Hoppa IPA,WA,IPA,7.1%,3.050
Cape Cod Beach Blonde Ale,MA,Blonde Ale,4.9%,3.050
Telegraph Unblended Barrel Reserve Porter,CA,Porter,6%,3.050
Water Street Radler,WI,American Wheat,-,3.050
Great Dane Spiced Pumpkin Ale,WI,Spiced Beer,-,3.050
Brew Brothers Wild Card Wheat Ale,NV,Hefeweizen,-,3.050
Heartland Kellys Irish Red Ale,NY,Irish Ale,-,3.050
DuClaw Deception,MD,Belgian Strong Ale,16.4%,3.050
Hermitage Single HOP Columbus,CA,IPA,7%,3.050
Franconia Falling Bock,TX,Bock,6%,3.050
Dogfish Head Ryehoboth,DE,Rye Beer,5.5%,3.050
Deschutes Bëndsch Kölsch,OR,Kölsch,5.1%,3.050
Mountain Meadows Honeymoon Nectar,CA,Mead,-,3.050
Wasatch Golden Nectar,UT,American Wheat,-,3.050
Pale Horse Hillbilly Blonde,OR,Blonde Ale,6%,3.050
Vintage Hibiscus Saison,WI,Saison,6.1%,3.050
Lewis & Clark Amber Ale,MT,Amber Ale,-,3.050
Delafield Doctor's Hop Tonic,WI,IPA,5%,3.050
Olde Towne Pumpkin Ale,AL,Spiced Beer,-,3.050
Pisgah Porter,NC,Porter,-,3.050
TableRock Oktoberfest,ID,Marzen / Oktoberfest,-,3.050
Montgomery Brewing Downtown Brown Ale,AL,Brown Ale,5.4%,3.050
McKenzie Helles Lager,PA,Helles / Dortmunder,-,3.050
Bullfrog Bicentennial Blonde,PA,Kölsch,4.9%,3.050
Buckhead Southern Belle,GA,Blonde Ale,5.6%,3.050
General Lafayette Turin Me Loose,PA,Amber Ale,6.2%,3.050
Rio Salado Cold Front Kolsch,AZ,Kölsch,-,3.050
West Brothers Espresso Stout,OR,Coffee Stout,6.2%,3.050
Cally's Plowman Porter,VA,Porter,-,3.050
Harpoon Wit Beer (100 Barrel Series),MA,Witbier,4.5%,3.050
Draught House Weizenheimer,TX,Hefeweizen,-,3.050
Max Brown,GA,Brown Ale,5.5%,3.050
Wachusett Black Shack Porter,MA,Porter,-,3.050
Saxer Summer Lager,OR,Lager,5%,3.050
Square One American Wheat Ale,MO,American Wheat,-,3.050
Calumet Ice,WI,Strong Ale,6%,3.050
Cannon Sledgehammer,GA,Imperial IPA,-,3.050
McKenzie Bitter End,PA,Bitter,-,3.050
Chophouse Hefeweizen,DC,Hefeweizen,-,3.050
Morro Bay Apricot Ale,CA,Fruit Beer,-,3.050
Manayunk Prohibition Lager,PA,Vienna / Amber Lager,5.3%,3.050
Bluegrass Darby Ale,KY,Kölsch,4%,3.050
Steamworks Lizard Head Red,CO,Amber Ale,-,3.050
Ship Inn Welsh,NJ,Irish Ale,-,3.050
Port Townsend Hop Diggidy,WA,IPA,5.5%,3.050
Rock Bottom West Coast IPA,CO,IPA,-,3.050
Hops Hang Ten Honey Wheat,GA,American Wheat,-,3.050
Lompoc Amber,OR,Amber Ale,-,3.050
Coddington Scotch Heavy,RI,Scottish Ale,6%,3.050
Power Plant Steamboat Stout,MO,Dry Stout,-,3.050
Craftsman Poppy Fields,CA,English Pale Ale,-,3.050
Coast Biloxi Blonde,MS,Blonde Ale,-,3.050
Carlyle Stout,IL,Stout,-,3.050
Sleeping Lady Bravehart Scottish Ale,AK,Scottish Ale,6.5%,3.050
Flossmoor Station Ellas Reserve,IL,Belgian Strong Ale,9%,3.050
Hilltop Pale Rider,VA,American Pale Ale,5.2%,3.050
Goose Island Summers Best Bitter,IL,Extra Special Bitter,5.5%,3.050
Independence Belgian White,PA,Witbier,5%,3.050
Berkshire Shabadoo Black and Tan,MA,Porter,6.3%,3.050
Lamar St. Golden Ale,IL,Blonde Ale,-,3.050
Falls Nut Brown Ale,WI,Brown Ale,-,3.050
Davidson Brothers Brown Ale,NY,Brown Ale,-,3.050
Cally's Downtown Amber Ale,VA,Amber Ale,-,3.050
Davidson Brothers Scotch Ale,NY,Scottish Ale,8.2%,3.050
Beaver Street Brewery Lager del Sol,AZ,Lager,-,3.050
Taps Oscura,CA,Vienna / Amber Lager,-,3.050
Belt Harvest Moon Charlie Russell Red,MT,Extra Special Bitter,-,3.050
Bethlehem Brew Works Mirabelle,PA,Fruit Beer,6.2%,3.050
Shed Brewery Whiteout Double Wit,VT,Witbier,7.7%,3.050
Independence Imperial IPA,PA,Imperial IPA,9%,3.050
Woodward Avenue Raspberry Blonde,MI,Fruit Beer,-,3.050
CooperSmiths Malcolms Milk Stout,CO,Milk Stout,4.9%,3.050
Olde Auburn Wildman Steves Hemp Ale,AL,Spiced Beer,-,3.050
Harmon Pinnacle Peak Pale Ale,WA,American Pale Ale,4.2%,3.050
Odell Double Trouble Pilsener,CO,Imperial Pilsener,7.1%,3.050
Frankenmuth Hefeweizen,MI,Hefeweizen,-,3.050
HopTown Rattanfanger von Pleasanton,CA,Doppelbock,10.5%,3.050
Southampton Bavarian Wheat,NY,Hefeweizen,4.8%,3.050
Extra Billy's American Ale,VA,Blonde Ale,-,3.050
Rustic Rail Amber Ale,WI,Amber Ale,-,3.050
Herkimer Alt,MN,Altbier,-,3.050
Back Road American Pale Ale,IN,American Pale Ale,5%,3.050
Rocky River Blueberry Ale,OH,Fruit Beer,3.7%,3.050
John Harvards Dutch Pilsner,MA,Bohemian / Czech Pilsener,4.7%,3.050
Back Road Bock,IN,Bock,4.9%,3.050
McMenamins Concordia Pale Ale,OR,American Pale Ale,-,3.050
Grindstone Organic India Pale Ale,MO,IPA,-,3.050
General Lafayette Ill Be Bock,PA,Bock,7.1%,3.050
Shenandoah Skyland Red Ale,VA,Amber Ale,-,3.050
Barley Island Blind Tiger Pale Ale,IN,American Pale Ale,4.8%,3.050
Honu Beer,OR,Light / Lite Lager,-,3.050
Willoughby Black Douglas,OH,Scottish Ale,-,3.050
Coast Beau Rivage Hefeweizen,MS,Hefeweizen,-,3.050
Silver City Big Daddys ESB,WA,Extra Special Bitter,5.8%,3.050
Grindstone Vienna Lager,MO,Vienna / Amber Lager,5.5%,3.050
Moccasin Bend Watermelon Wheat,TN,Fruit Beer,-,3.050
Stewarts Governors Golden Ale,DE,Blonde Ale,-,3.050
Bear Republic Black Rye,CA,Imperial Stout,-,3.050
Fire Station 5 Steam Pumper IPA,OR,IPA,-,3.050
Extra Billy's Copper Bock,VA,Bock,-,3.050
Valley Brew El Diablo Pequeno,CA,Saison,5.3%,3.050
John Harvards Insomniac IPA,MA,IPA,-,3.050
Willoughby Lost Nation Pale Ale,OH,American Pale Ale,-,3.050
Sleeping Lady John Henry Oatmeal Stout,AK,Oatmeal Stout,5.6%,3.050
Bayhawk King Crab Honey Ale,CA,American Pale Ale,4.75%,3.050
Jobbers Docs Brown Ale,NE,Brown Ale,-,3.050
Latitude 33 Pasha's Rye Brown Ale,CA,Brown Ale,6%,3.050
Brooklyn Hammarby Syndrome,NY,Strong Ale,8%,3.050
Buffalo Bayou Strong Golden Ale,TX,Belgian Strong Ale,7.8%,3.050
10 Barrel Raspberry Crush,OR,Wild Ale,5.2%,3.050
Breakwater Triple A Downgrade,CA,Abbey Tripel,8.5%,3.050
Pints Seismic IPA,OR,IPA,6.1%,3.050
Iron Fist Golden Age,CA,Belgian Strong Ale,9.5%,3.050
Three Floyds/Mikkeller RisGoop,IN,Strong Ale,10.4%,3.050
Saranac Decoction Concoction Lager,NY,Vienna / Amber Lager,6%,3.050
Figueroa Mountain Paradise Road Pilsner,CA,Bohemian / Czech Pilsener,5.5%,3.050
Iron Fist Like A Glove,CA,Stout,7.5%,3.050
Sullivans Grateful Red,MI,Amber Ale,5%,3.050
San Marcos Pompous,CA,Strong Ale,7.5%,3.050
Amnesia Desolation IPA,OR,IPA,6.2%,3.050
Mission Jasper Extra Pale Ale,CA,American Pale Ale,-,3.050
Deschutes Olde DB IML,OR,Strong Lager,7.3%,3.050
Stumblefoot Carli's Honey Blonde Lager,CA,Lager,6%,3.050
Pints Tavern Ale,OR,Extra Special Bitter,5.1%,3.050
Columbia River ESB,OR,Extra Special Bitter,5.7%,3.050
Deschutes Genevrier Wit,OR,Witbier,4.5%,3.050
Alameda Oak Aged Saint Brigid Irish Red,OR,Irish Ale,5.2%,3.050
Lucid Summertide,MN,Saison,5.5%,3.050
Long Trail Farmhouse Black Rye IPA,VT,American Black Ale,6.3%,3.050
Guadalupe Rye IPA,TX,IPA,-,3.050
Crafted Artisan Meadery Blue Honey Melomel,OH,Mead,12%,3.050
Elysian 12 Beers Of The Apocalypse #4 - Peste Chocolate Chili Ale,WA,Spiced Beer,7.5%,3.050
Breakside  1911 Vienna Coffee Bier,OR,Doppelbock,-,3.050
Watermelon Laimas Kolsch,CO,Fruit Beer,5%,3.050
CooperSmiths The Mischievous Monk,CO,Abbey Quadrupel,10.8%,3.050
Old Town Spring Forward IPA,OR,IPA,6.9%,3.050
Flying Mouse 5,VA,Bitter,4.2%,3.050
He'Brew Davids Slingshot Hoppy Summer Lager,CA,Lager,5.5%,3.050
Saint Somewhere Serge,FL,Saison,6.5%,3.050
Revolution Fistmas Ale,IL,Spiced Beer,6.1%,3.050
Rogness Yogi,TX,Spiced Beer,5.2%,3.050
Rogness Rook,TX,Scottish Ale,7%,3.050
Upright Kiln 'Em All,OR,English Pale Ale,6%,3.050
Badger Hill Wanderlust Series #02: Cherry Double Dunkel,MN,Weizenbock,8%,3.050
Madhouse Pastime Pale Ale,IA,American Pale Ale,5.2%,3.050
Funkwerks Oud Bruin,CO,Flanders Oude Bruin,7.5%,3.050
Surly Damien,MN,American Black Ale,5.2%,3.050
7venth Sun Farmhouse Wit,FL,Saison,5.2%,3.050
Great Divide Peach Grand Cru,CO,Belgian Strong Ale,12%,3.050
Highland Landslide Lager,NC,Pale Lager,-,3.050
Falling Sky Whoa Dang Pale Ale,OR,American Pale Ale,-,3.050
Victory Hop Ticket #1 Session IPA,PA,IPA,4.5%,3.050
Lone Pint 667,TX,IPA,6.6%,3.050
Southern Star Blind Ambition,TX,Biere de Garde,7.6%,3.050
The Brewing Lair Espionage,CA,IPA,7%,3.050
Gigantic The Most Interesting Beer In The World,OR,American Pale Ale,5.5%,3.050
Walking Man Cents & Censability,WA,American Pale Ale,5.2%,3.050
Great Basin Dark Horse Pumpkin Ale,NV,Spiced Beer,5.3%,3.050
The Brewer's Cabinet \ Mammoth Brewing Gypsy Rose,NV,Belgian Strong Ale,8.6%,3.050
Tahoe Mountain Smoked Mai Bock,CA,Bock,6%,3.050
Tri City Charity Island IPA,MI,IPA,6%,3.050
Portside 216 Dry Hopped Pale Ale,OH,American Pale Ale,5.8%,3.050
5 Rabbit Cerveceria Huitzi,IL,Belgian Strong Ale,9%,3.050
Red Rock Griswald's Holiday Ale,UT,Spiced Beer,8.5%,3.050
5 Seasons Westside Golden # Ale,GA,Blonde Ale,5%,3.050
Strange Zora Rosemary Pale Ale,CO,Spiced Beer,7.5%,3.050
Shipyard Brewpub Chipotle Bacon Porter,FL,Porter,7.6%,3.050
Stoneyhead Sneak Attack IPA,NV,IPA,-,3.050
Portsmouth Brewing Red Bird Ale,OH,California Common / Steam,3.5%,3.050
Cycler's 55-11 Imperial Red,TX,Amber Ale,7.9%,3.050
Hoppin' Frog Barrel Aged Frogs Hollow Double Pumpkin,OH,Spiced Beer,8.4%,3.050
El Segundo Two-5 Left Double IPA,CA,Imperial IPA,8.5%,3.050
Burley Oak Rude Boy,MD,American Barleywine,8.1%,3.050
Fairhope Rescue Dog Red Ale,AL,Amber Ale,7.2%,3.050
Kinetic Citrafuge Fresh Hop XPA,CA,American Pale Ale,5.5%,3.050
Nantahala Pattons Run Porter,NC,Porter,4.5%,3.050
3 Sheeps Cirque du Wit,WI,Witbier,4.2%,3.050
Wingman Ace IPA,WA,IPA,7.1%,3.050
Odell Not A Problem,CO,Amber Ale,5.1%,3.050
Ottos Arthur's Robust Porter,PA,Porter,6.4%,3.050
Maui Hoku'ula Red Ale,HI,Amber Ale,-,3.050
Deep Ellum Dallas Blonde,TX,Blonde Ale,5.2%,3.050
Railyard Scottish (Wee Heavy) Strong Ale,AL,Scottish Ale,10%,3.050
Cascade Lakes Cyclops IPA,OR,IPA,6.9%,3.050
Crooked Stave Persica Wild Wild Brett,CO,Wild Ale,7.5%,3.050
Hereford and Hops Redemption IPA,MI,IPA,7.5%,3.050
Green Man Acapulco Gold,NC,Bohemian / Czech Pilsener,-,3.050
Buckeye Lake Irish Red Ale,OH,Irish Ale,5.9%,3.050
Kassiks Kenai Chocolate Cherry Stout,AK,Fruit Stout,8.4%,3.050
White Birch Berliner Weisse,NH,Berliner Weisse,5.5%,3.050
Elysian AK-47,WA,Lager,6%,3.050
Stevens Point Drop Dead Blonde,WI,Light / Lite Lager,3.5%,3.050
Haven Disco Pants,CA,American Black Ale,6.1%,3.050
El Toro Ghost Chili Golden Ale,CA,Spiced Beer,4.5%,3.050
Lompoc Prime Directive IPA,OR,IPA,7%,3.050
Lassen Ale Works Almanor Amber Ale,CA,Amber Ale,4.5%,3.050
Abita Select Strawator,LA,Fruit Beer,8%,3.050
Black Star Co-op Pub & Brewery Waterloo,TX,American Wheat,3.5%,3.050
Vermont Pub OSHAnnanigans Brown Ale,VT,Brown Ale,-,3.050
Lift Bridge Hop Dish,MN,IPA,7.5%,3.050
Deschutes Hefeweizen,OR,Hefeweizen,4.8%,3.050
OFallon Cherry Chocolate Ale,MO,Fruit Beer,5.7%,3.045
Oak Creek Nut Brown Ale,AZ,Brown Ale,6%,3.045
MateVeza Organic Golden Ale,CA,Spiced Beer,5%,3.045
Buckbean Black Noddy Lager,NV,Schwarzbier,5.3%,3.045
McNeills Ducks Breath Ale,VT,Strong Ale,-,3.045
Snowshoe Grizzly Brown Ale,CA,Brown Ale,-,3.045
Hales Red Menace Big Amber Ale,WA,Amber Ale,-,3.044
Orchard Street Porter,WA,Porter,-,3.043
Furthermore Fallen Apple,WI,Fruit Beer,-,3.043
Newport Beach Bisbee's ESB,CA,Extra Special Bitter,6.5%,3.043
Elysian Saison Elysee,WA,Saison,5.8%,3.043
Samuel Adams Ruby Mild,MA,Mild Ale,5.6%,3.043
Samuel Adams Triple Bock,MA,English Barleywine,17.5%,3.042
Sea Dog Old East India Pale Ale,ME,IPA,6%,3.041
Ballast Point Yellowtail Pale Ale,CA,American Pale Ale,5%,3.040
Butte Creek Organic Pilsner,CA,Bohemian / Czech Pilsener,4.5%,3.040
Oak Creek Amber Ale,AZ,Amber Ale,5.5%,3.040
McMenamins Nebraska Bitter,OR,Bitter,3.6%,3.040
Heartland Red Rooster Ale,NY,Amber Ale,5%,3.040
Calumet Kelly's Irish Red Lager,WI,Vienna / Amber Lager,-,3.040
